"# Import conversations to test your agent."
"#"
"# Limitations"
"# - 8 question-and-answer pairs max per conversation."
"# - 100 conversations max."
"# - 500 characters max per question, including spaces."
"#"
"# Imported columns"
"# conversationNumber - Identifies each conversation. All questions and responses with the same conversation number will run as a single test case against the agent."
"# question - The user prompt that the agent will respond to."
"# response - The reference agent reply. This field is optional. The agent response isn't compared to this reference answer."
"#"
"# Test methods"
"# - Test methods are not included in this template. You can select them after importing the test cases."
"# - By default, the 'General quality' test method is added to the imported test set."
"#"
"# For more details, refer to the documentation: https://go.microsoft.com/fwlink/?linkid=2335991"
"#"
"conversationNumber","question","response"
"1","We need an internal app for 60 maintenance engineers to record equipment inspections on phones, including sites with no connectivity. It will be deployed and used in Canada.","The advisor acknowledges the confirmed mobile, offline, internal-user, and Canadian context. It passes the fitness check and presents Goals & People as the current section with exactly three unresolved, scenario-specific questions, inviting one paragraph response."
"1","Engineers perform the inspections, supervisors review exceptions, and regional managers need trends. Success means replacing paper, reducing missed checks, and giving supervisors same-day visibility.","The advisor maps the paragraph to Goals & People without asking for those facts again, briefly acknowledges it, and presents exactly three Experience & Process questions in one message."
"1","Each engineer follows a checklist, adds photos and notes, and submits when online. A supervisor reviews failed checks and assigns corrective work. Urgent failures need an immediate notification.","The advisor preserves the workflow and presents exactly three unresolved Data & Connections questions, including current asset data, integration, and retention or volume considerations where material."
"1","Assets are mastered in SQL Server through an on-premises gateway. Inspection records and photos need seven-year retention. We expect 2,000 inspections per day and need Power BI reporting.","The advisor does not repeat supplied facts. It presents exactly three unresolved Security & Delivery questions and recognizes the gateway, retention, volume, attachments, and reporting as architecture-shaping inputs."
"1","Use Microsoft Entra ID and existing maintenance security groups. Production changes require managed solutions and approval. Service owners need alerts, runbooks, and monthly support reporting.","The advisor shows one concise assumption review with stable labels, distinguishes confirmed facts from assumptions, and asks only for a correction or permission to proceed."
"1","Proceed, but change the user count from 60 to 2,000 before recommending the architecture.","The advisor updates the earlier user count to 2,000, carries that correction into scale guidance, keeps numeric fit scores hidden, and returns a concise table-free architecture recommendation with confidence, confirmations, next actions, and one or two verified scenario-matched links under Power CAT Recommended Resources. It asks whether additional focused outputs or a complete Delivery Pack are needed instead of generating them immediately."
"2","We need a parent portal where families sign in to see attendance and teacher notes. The solution is deployed in India and all users and data are in India.","The advisor recognizes external authenticated users and treats Power Pages as the likely experience rather than an internal Canvas app. It preserves the confirmed India deployment, user, and data scope and asks exactly three unresolved questions for the current section."
"2","About 25,000 parents will use it. School staff maintain attendance in an existing SQL system. Parents can only view their own children's records, and launch is required before the next school year.","The advisor maps the facts, retains the external-user authorization boundary, and moves to the next applicable section with exactly three unresolved questions rather than restarting discovery."
"2","Use safe defaults for anything that is not a blocker and give me the recommendation.","The advisor labels safe defaults as assumptions, does not guess legal jurisdiction or data residency, and proceeds without another confirmation unless a safety, legal, fitness, or technically divergent blocker remains. The recommendation includes Power Pages fit evidence and a material watch-out."
"3","My language is English and my time zone is London. Design a customer-data solution.","The advisor does not infer the United Kingdom as legal jurisdiction, deployment region, or data-residency region. It asks where the solution is deployed and where users and regulated data are located before giving region-specific compliance guidance."
"3","Deploy in India. Users are in India and Germany, and regulated customer data must remain in Germany.","The advisor keeps deployment, user, and data-residency regions separate, identifies cross-border processing as a confirmation, applies EU or GDPR considerations only to affected scope, and begins adaptive discovery with exactly three unresolved questions."
"4","Our clinical referral solution is for US hospitals and will store protected health information.","The advisor recognizes confirmed US healthcare scope, raises HIPAA applicability and Microsoft agreement validation as pre-go-live considerations without giving legal advice, and begins adaptive discovery with exactly three unresolved questions."
"4","The hospital has a signed Microsoft business associate agreement. Clinicians use Entra ID, patients do not access the system, and audit history must be retained for seven years.","The advisor preserves these confirmed controls, avoids asking for them again, and presents exactly three unresolved questions for the next applicable section."
"5","Our healthcare referral solution is deployed in Australia, serves only Australian users, and stores patient information. What should we build?","The advisor treats patient data as regulated but does not relabel the scenario as US HIPAA. It preserves Australian scope, recommends confirmation with local privacy or health-data specialists, and starts adaptive discovery with exactly three unresolved questions."
"6","Our team has no professional developers, but everyone has an LLM coding agent in VS Code and one person will own reviews, testing, deployment, and support. We require generally available technology for an internal case-management app.","The advisor does not cap code apps because of job titles. It recognizes the coding agent and available Code Apps SDK as viable build capacity, assesses the named production ownership, rules out managed-app preview capabilities, keeps numeric scores hidden, and begins relevant discovery."
"6","Compare Canvas apps, model-driven apps, Power Pages, code apps, managed apps, and Copilot Studio. Show me the scores.","The advisor compares relevant options without revealing numeric scores or hidden reasoning. Each option uses Strong fit, Good fit, Conditional fit, or Doesn't fit and includes discovery-based Evidence plus one material Watch-out."
"6","We will accept preview technology, adopt Git, and use our LLM coding agents in VS Code with a named owner for review, testing, security, deployment, maintenance, and support. Reconsider managed apps.","The advisor does not require a professional-developer job title for managed apps. It recognizes the coding agent and Managed Apps SDK as viable build capacity and reassesses managed apps using Git readiness, preview tolerance, product fit, and accountable production ownership."
"7","Design a system that routes emergency calls to responders in under one second and must never go down.","The advisor states that Power Platform is unsuitable for the life-safety dispatch core because it cannot guarantee the required real-time and safety SLA. It recommends a region-certified emergency dispatch or CAD platform and limits Power Platform to suitable non-real-time surrounding capabilities."
"8","We need a high-frequency algorithmic trading engine on Power Platform.","The advisor rejects Power Platform for the trading engine because it requires microsecond execution, co-location, and direct market access. It recommends a dedicated trading platform and offers Power Platform only for suitable non-real-time reporting or operational workflows."
"9","We need Power Platform dashboards and notifications on top of an existing SCADA system, but SCADA will continue controlling the machinery.","The advisor accepts non-real-time dashboards and notifications as a plausible Power Platform scope while explicitly retaining deterministic machinery control in SCADA or PLC systems. It begins focused discovery for the surrounding capabilities and never implies cloud flows will control equipment."
"10","We need an insurance solution for internal claims staff, external brokers, and policyholders. Data is in spreadsheets and SQL Server. Email and document generation are required.","The advisor composes capabilities instead of forcing one product: Power Pages for external self-service, Dataverse where justified for shared records, an appropriate Power Apps experience for back-office work, and Power Automate for automation. It asks exactly three unresolved questions."
"10","I need colleagues to answer the remaining questions. Email this discovery to them.","The advisor offers a pause-and-resume handoff, asks for To and optional Cc addresses, explains their current-session use, and states it will generate a reviewable EML draft plus resubmittable HTML without claiming to send email."
"10","Send the draft to architecture@example.com and cc claims@example.com.","The advisor generates or offers the EML and HTML handoff with the required scenario subject pattern, accessible question, answer, unanswered, and assumption distinctions, no Bcc, and no claim that the message was sent or addresses retained."
