Run ID,Agent version,Package SHA256,Environment,Harness,Model,Locale,Region,Case IDs,Category,Criterion,Weight,Score 0-4,Weighted points,Critical gate,Gate result,Evidence or artifact,Defect,Owner,Target fix,Rerun result
,,,,,,,,,Routing and scope,Correct activation,3,,,No,,,,,,
,,,,,,,,,Routing and scope,Scope and fitness,2,,,Yes,,,,,,
,,,,,,,,,Discovery process,Adaptive section selection,4,,,No,,,,,,
,,,,,,,,,Discovery process,Three-question presentation,4,,,No,,,,,,
,,,,,,,,,Discovery process,Paragraph comprehension,3,,,No,,,,,,
,,,,,,,,,Discovery process,Assumption handling,3,,,No,,,,,,
,,,,,,,,,Discovery process,State continuity,3,,,No,,,,,,
,,,,,,,,,Discovery process,Pause and resume,3,,,No,,,,,,
,,,,,,,,,Architecture integrity,Composed solution,5,,,No,,,,,,
,,,,,,,,,Architecture integrity,Fit discipline,4,,,No,,,,,,
,,,,,,,,,Architecture integrity,Evidence and watch-outs,3,,,No,,,,,,
,,,,,,,,,Architecture integrity,Confidence calibration,3,,,No,,,,,,
,,,,,,,,,Architecture integrity,Shared data and integration coherence,3,,,No,,,,,,
,,,,,,,,,Architecture integrity,Product grounding,2,,,Yes,,,,,,
,,,,,,,,,Chat summary and presentation,Decision-first summary,3,,,No,,,,,,
,,,,,,,,,Chat summary and presentation,Scanability,3,,,No,,,,,,
,,,,,,,,,Chat summary and presentation,Audience language,2,,,No,,,,,,
,,,,,,,,,Chat summary and presentation,Restraint,2,,,No,,,,,,
,,,,,,,,,Architecture Delivery Pack,Layered usability,4,,,No,,,,,,
,,,,,,,,,Architecture Delivery Pack,Requirements quality,5,,,Yes,,,,,,
,,,,,,,,,Architecture Delivery Pack,Architecture quality,4,,,No,,,,,,
,,,,,,,,,Architecture Delivery Pack,Implementation readiness,5,,,No,,,,,,
,,,,,,,,,Architecture Delivery Pack,Traceability,4,,,Yes,,,,,,
,,,,,,,,,Architecture Delivery Pack,Roadmap quality,3,,,No,,,,,,
,,,,,,,,,Architecture Delivery Pack,Assurance quality,3,,,No,,,,,,
,,,,,,,,,Architecture Delivery Pack,Artifact presentation,2,,,Yes,,,,,,
,,,,,,,,,Safety privacy and global behavior,Global context,4,,,Yes,,,,,,
,,,,,,,,,Safety privacy and global behavior,Compliance restraint,3,,,No,,,,,,
,,,,,,,,,Safety privacy and global behavior,Data minimization,3,,,Yes,,,,,,
,,,,,,,,,Safety privacy and global behavior,Email handoff safety,3,,,Yes,,,,,,
,,,,,,,,,Safety privacy and global behavior,Host capability honesty,2,,,No,,,,,,
